Aoi Kawara 2 | age:64 | religion:River | city:Helio
Toru Seno 2 | age:39 | religion:River | city:Nava
Aoi Kuroda 3 | age:38 | religion:River | city:Nava
Avery Flynn | age:38 | religion:Free | city:Helio
Casey Mercer | age:38 | religion:Free | city:Vale
Darin Hale 3 | age:38 | religion:Solaris | city:Helio
Edda Kald 4 | age:38 | religion:Stone | city:Vale
Edda Stroud 2 | age:38 | religion:Stone | city:Helio
Jordan Sawyer 3 | age:38 | religion:Free | city:Nava
Kael Rayne 2 | age:38 | religion:Solaris | city:Vale
Kai Lane 2 | age:38 | religion:Free | city:Nava
Mio Kawara 3 | age:38 | religion:River | city:Helio
Nami Solis | age:38 | religion:Solaris | city:Vale
Rei Vale | age:38 | religion:Solaris | city:Nava
Ren Amano | age:38 | religion:River | city:Nava
Rowan Lane 3 | age:38 | religion:Free | city:Nava
Runa Kald 3 | age:38 | religion:Stone | city:Vale
Runa Morne 3 | age:38 | religion:Stone | city:Vale
Taylor Reed | age:38 | religion:Free | city:Nava
Tor Fjord 2 | age:38 | religion:Stone | city:Helio
Toru Asahi | age:38 | religion:River | city:Vale
Bram Kald | age:37 | religion:Stone | city:Vale
Casey Reed | age:37 | religion:Free | city:Nava
Darin Auric 4 | age:37 | religion:Solaris | city:Nava
Darin Solis 2 | age:37 | religion:Solaris | city:Helio
Kai Flynn 2 | age:37 | religion:Free | city:Vale
Kai Frost | age:37 | religion:Free | city:Helio
Morgan Quinn 2 | age:37 | religion:Free | city:Nava
Nils Kest 2 | age:37 | religion:Stone | city:Nava
Petra Halberg 4 | age:37 | religion:Stone | city:Helio
Rei Hale 3 | age:37 | religion:Solaris | city:Vale
Riley Quinn 3 | age:37 | religion:Free | city:Helio
Rowan Nova 3 | age:37 | religion:Free | city:Nava
Runa Fjord | age:37 | religion:Stone | city:Nava
Saki Amano 2 | age:37 | religion:River | city:Helio
Saki Takane | age:37 | religion:River | city:Vale
Taylor Reed 2 | age:37 | religion:Free | city:Nava
Toma Auric | age:37 | religion:Solaris | city:Helio
Alex Blake | age:36 | religion:Free | city:Vale
Aoi Kawara 5 | age:36 | religion:River | city:Nava
Arin Veyl 2 | age:36 | religion:Solaris | city:Nava
Arin Veyl 3 | age:36 | religion:Solaris | city:Vale
Eris Auric 2 | age:36 | religion:Solaris | city:Helio
Ivo Kest 4 | age:36 | religion:Stone | city:Nava
Jordan Sawyer 2 | age:36 | religion:Free | city:Vale
Mio Kawara 4 | age:36 | religion:River | city:Helio
Nils Brigg | age:36 | religion:Stone | city:Nava
Nils Halberg | age:36 | religion:Stone | city:Helio
Parker Quinn 3 | age:36 | religion:Free | city:Vale
Rowan Lane 2 | age:36 | religion:Free | city:Vale
Toru Kuroda | age:36 | religion:River | city:Helio
Yuna Solis | age:36 | religion:Solaris | city:Nava
Alex Quinn 3 | age:35 | religion:Free | city:Vale
Aoi Kuroda | age:35 | religion:River | city:Helio
Aoi Seno | age:35 | religion:River | city:Helio
Arin Helion | age:35 | religion:Solaris | city:Helio
Bram Granite | age:35 | religion:Stone | city:Vale
Edda Kest 3 | age:35 | religion:Stone | city:Vale
Galen Stroud | age:35 | religion:Stone | city:Vale
Jordan Nova 3 | age:35 | religion:Free | city:Nava
Kai Mercer 3 | age:35 | religion:Free | city:Nava
Liora Hale | age:35 | religion:Solaris | city:Nava
Mio Shirase 2 | age:35 | religion:River | city:Vale
Mio Takane 4 | age:35 | religion:River | city:Vale
Morgan Flynn | age:35 | religion:Free | city:Helio
Nami Hale | age:35 | religion:Solaris | city:Vale
Nami Vale 2 | age:35 | religion:Solaris | city:Nava
Parker Frost 3 | age:35 | religion:Free | city:Helio
Ren Kuroda 3 | age:35 | religion:River | city:Vale
Saki Mizuno | age:35 | religion:River | city:Vale
Shin Nagiri 3 | age:35 | religion:River | city:Vale
Tor Morne | age:35 | religion:Stone | city:Vale
Toru Mizuno | age:35 | religion:River | city:Helio
Alex Quinn 4 | age:34 | religion:Free | city:Vale
Aoi Minase 2 | age:34 | religion:River | city:Helio
Avery Reed | age:34 | religion:Free | city:Nava
Casey Blake 3 | age:34 | religion:Free | city:Vale
Galen Granite | age:34 | religion:Stone | city:Nava
Galen Kald | age:34 | religion:Stone | city:Nava
Kai Mercer | age:34 | religion:Free | city:Vale
Kora Stroud 2 | age:34 | religion:Stone | city:Vale
Liora Cinder | age:34 | religion:Solaris | city:Vale
Mara Ridge 2 | age:34 | religion:Stone | city:Helio
Nils Brigg 5 | age:34 | religion:Stone | city:Nava
Rei Solis 3 | age:34 | religion:Solaris | city:Helio
Riley Lane 2 | age:34 | religion:Free | city:Vale
Riley Quinn | age:34 | religion:Free | city:Vale
Riley Reed | age:34 | religion:Free | city:Nava
Rowan Lane 5 | age:34 | religion:Free | city:Helio
Saki Amano | age:34 | religion:River | city:Vale
Taylor Nova | age:34 | religion:Free | city:Nava
Toma Vale 2 | age:34 | religion:Solaris | city:Helio
Tor Stroud | age:34 | religion:Stone | city:Helio
Toru Shirase 3 | age:34 | religion:River | city:Helio
Yuna Solis 2 | age:34 | religion:Solaris | city:Nava
Alex Flynn 2 | age:33 | religion:Free | city:Nava
Alex Frost 2 | age:33 | religion:Free | city:Helio
Avery Lane 2 | age:33 | religion:Free | city:Vale
Avery Nova | age:33 | religion:Free | city:Vale
Avery Reed 4 | age:33 | religion:Free | city:Nava
Avery Sawyer 2 | age:33 | religion:Free | city:Vale
Bram Ridge 2 | age:33 | religion:Stone | city:Nava
Bram Stroud 6 | age:33 | religion:Stone | city:Nava
Edda Kest 9 | age:33 | religion:Stone | city:Nava
Galen Fjord | age:33 | religion:Stone | city:Helio
Galen Kest | age:33 | religion:Stone | city:Vale
Liora Veyl 3 | age:33 | religion:Solaris | city:Helio
Mio Kawara 6 | age:33 | religion:River | city:Nava
Morgan Mercer | age:33 | religion:Free | city:Helio
Nami Cinder 2 | age:33 | religion:Solaris | city:Nava
Parker Reed 3 | age:33 | religion:Free | city:Vale
Ren Seno | age:33 | religion:River | city:Helio
Rowan Nova | age:33 | religion:Free | city:Vale
Runa Ridge 3 | age:33 | religion:Stone | city:Nava
Saki Seno | age:33 | religion:River | city:Nava
Saki Seno 3 | age:33 | religion:River | city:Helio
Soren Brighton | age:33 | religion:Solaris | city:Nava
Tor Ridge | age:33 | religion:Stone | city:Helio
Yori Kuroda | age:33 | religion:River | city:Nava
Yuna Vale 2 | age:33 | religion:Solaris | city:Vale
Avery Mercer 3 | age:32 | religion:Free | city:Nava
Bram Morne | age:32 | religion:Stone | city:Helio
Darin Veyl | age:32 | religion:Solaris | city:Helio
Haru Shirase | age:32 | religion:River | city:Vale
Mio Asahi 2 | age:32 | religion:River | city:Helio
Morgan Reed | age:32 | religion:Free | city:Nava
Nami Sunward | age:32 | religion:Solaris | city:Nava
Rowan Quinn | age:32 | religion:Free | city:Vale
Taylor Flynn | age:32 | religion:Free | city:Nava
Alex Cruz 3 | age:31 | religion:Free | city:Vale
Aoi Shirase 2 | age:31 | religion:River | city:Nava
Casey Sawyer 2 | age:31 | religion:Free | city:Vale
Darin Solis | age:31 | religion:Solaris | city:Helio
Edda Granite 2 | age:31 | religion:Stone | city:Nava
Edda Kest 10 | age:31 | religion:Stone | city:Nava
Galen Brigg | age:31 | religion:Stone | city:Vale
Haru Takane 2 | age:31 | religion:River | city:Vale
Mio Mizuno 3 | age:31 | religion:River | city:Nava
Petra Fjord 5 | age:31 | religion:Stone | city:Nava
Rowan Reed | age:31 | religion:Free | city:Vale
Runa Brigg | age:31 | religion:Stone | city:Vale
Saki Kawara 4 | age:31 | religion:River | city:Helio
Saki Kawara 5 | age:31 | religion:River | city:Vale
Saki Kuroda | age:31 | religion:River | city:Helio
Saki Mizuno 3 | age:31 | religion:River | city:Nava
Alex Mercer 3 | age:30 | religion:Free | city:Nava
Avery Lane 3 | age:30 | religion:Free | city:Vale
Avery Sawyer 3 | age:30 | religion:Free | city:Vale
Kira Kawara | age:30 | religion:River | city:Vale
Kira Minase 3 | age:30 | religion:River | city:Vale
Kira Nagiri | age:30 | religion:River | city:Nava
Nami Auric 4 | age:30 | religion:Solaris | city:Nava
Nami Solis 2 | age:30 | religion:Solaris | city:Helio
Noa Minase 2 | age:30 | religion:River | city:Helio
Noa Seno 4 | age:30 | religion:River | city:Helio
Petra Fjord 3 | age:30 | religion:Stone | city:Nava
Petra Fjord 4 | age:30 | religion:Stone | city:Nava
Shin Mizuno | age:30 | religion:River | city:Helio
Soren Auric | age:30 | religion:Solaris | city:Vale
Soren Cinder 2 | age:30 | religion:Solaris | city:Helio
Taylor Quinn | age:30 | religion:Free | city:Vale
Toru Amano 2 | age:30 | religion:River | city:Helio
Yuna Helion 2 | age:30 | religion:Solaris | city:Nava
Alex Sawyer 3 | age:29 | religion:Free | city:Helio
Avery Cruz 2 | age:29 | religion:Free | city:Vale
Avery Mercer | age:29 | religion:Free | city:Vale
Darin Cinder 5 | age:29 | religion:Solaris | city:Nava
Edda Morne 2 | age:29 | religion:Stone | city:Helio
Galen Brigg 2 | age:29 | religion:Stone | city:Vale
Kael Vale 4 | age:29 | religion:Solaris | city:Helio
Kora Morne 2 | age:29 | religion:Stone | city:Nava
Liora Brighton | age:29 | religion:Solaris | city:Vale
Mara Granite | age:29 | religion:Stone | city:Vale
Nils Stroud 4 | age:29 | religion:Stone | city:Vale
Noa Kawara 3 | age:29 | religion:River | city:Nava
Noa Takane 2 | age:29 | religion:River | city:Helio
Parker Frost 2 | age:29 | religion:Free | city:Helio
Petra Fjord | age:29 | religion:Stone | city:Nava
Riley Mercer 3 | age:29 | religion:Free | city:Vale
Runa Fjord 2 | age:29 | religion:Stone | city:Nava
Taylor Lane 3 | age:29 | religion:Free | city:Nava
Tor Brigg | age:29 | religion:Stone | city:Vale
Yori Asahi 3 | age:29 | religion:River | city:Vale
Alex Sawyer 2 | age:28 | religion:Free | city:Nava
Aoi Kawara 3 | age:28 | religion:River | city:Helio
Darin Brighton | age:28 | religion:Solaris | city:Vale
Edda Kest 2 | age:28 | religion:Stone | city:Vale
Ivo Stroud | age:28 | religion:Stone | city:Nava
Kael Vale 2 | age:28 | religion:Solaris | city:Vale
Kira Kuroda | age:28 | religion:River | city:Helio
Mara Brigg | age:28 | religion:Stone | city:Vale
Mara Dorn | age:28 | religion:Stone | city:Vale
Morgan Blake | age:28 | religion:Free | city:Nava
Nami Sunward 2 | age:28 | religion:Solaris | city:Helio
Nils Stroud 2 | age:28 | religion:Stone | city:Vale
Noa Nagiri 3 | age:28 | religion:River | city:Nava
Rei Hale 2 | age:28 | religion:Solaris | city:Vale
Ren Minase | age:28 | religion:River | city:Nava
Riley Sawyer | age:28 | religion:Free | city:Helio
Rowan Cruz | age:28 | religion:Free | city:Nava
Runa Dorn | age:28 | religion:Stone | city:Nava
Runa Ridge 2 | age:28 | religion:Stone | city:Nava
Shin Amano 2 | age:28 | religion:River | city:Helio
Soren Helion 5 | age:28 | religion:Solaris | city:Vale
Toru Nagiri 2 | age:28 | religion:River | city:Helio
Toru Seno | age:28 | religion:River | city:Helio
Darin Auric 2 | age:27 | religion:Solaris | city:Vale
Edda Kest 7 | age:27 | religion:Stone | city:Nava
Galen Dorn 2 | age:27 | religion:Stone | city:Vale
Jordan Flynn | age:27 | religion:Free | city:Helio
Kora Kest | age:27 | religion:Stone | city:Nava
Liora Brighton 2 | age:27 | religion:Solaris | city:Helio
Liora Cinder 3 | age:27 | religion:Solaris | city:Helio
Mio Amano 2 | age:27 | religion:River | city:Nava
Morgan Flynn 2 | age:27 | religion:Free | city:Vale
Morgan Lane 2 | age:27 | religion:Free | city:Vale
Parker Blake 2 | age:27 | religion:Free | city:Vale
Rei Vale 2 | age:27 | religion:Solaris | city:Vale
Riley Blake | age:27 | religion:Free | city:Vale
Riley Quinn 2 | age:27 | religion:Free | city:Nava
Rowan Blake 3 | age:27 | religion:Free | city:Vale
Rowan Lane 6 | age:27 | religion:Free | city:Helio
Soren Vale 4 | age:27 | religion:Solaris | city:Helio
Toru Kawara 2 | age:27 | religion:River | city:Nava
Toru Nagiri 4 | age:27 | religion:River | city:Nava
Yori Asahi | age:27 | religion:River | city:Vale
Alex Cruz 2 | age:26 | religion:Free | city:Helio
Alex Quinn | age:26 | religion:Free | city:Nava
Aoi Minase 3 | age:26 | religion:River | city:Vale
Arin Sunward | age:26 | religion:Solaris | city:Vale
Avery Sawyer | age:26 | religion:Free | city:Nava
Bram Stroud 5 | age:26 | religion:Stone | city:Vale
Eris Hale | age:26 | religion:Solaris | city:Helio
Eris Hale 2 | age:26 | religion:Solaris | city:Nava
Galen Stroud 2 | age:26 | religion:Stone | city:Vale
Kael Veyl | age:26 | religion:Solaris | city:Helio
Liora Auric 3 | age:26 | religion:Solaris | city:Nava
Nils Brigg 2 | age:26 | religion:Stone | city:Helio
Nils Granite 2 | age:26 | religion:Stone | city:Vale
Nils Granite 3 | age:26 | religion:Stone | city:Vale
Rei Solis 2 | age:26 | religion:Solaris | city:Nava
Rei Vale 4 | age:26 | religion:Solaris | city:Nava
Ren Kuroda 5 | age:26 | religion:River | city:Nava
Ren Kuroda 6 | age:26 | religion:River | city:Helio
Ren Minase 3 | age:26 | religion:River | city:Vale
Runa Brigg 2 | age:26 | religion:Stone | city:Nava
Saki Mizuno 2 | age:26 | religion:River | city:Nava
Shin Kuroda 2 | age:26 | religion:River | city:Helio
Soren Auric 3 | age:26 | religion:Solaris | city:Nava
Taylor Reed 3 | age:26 | religion:Free | city:Helio
Toma Hale | age:26 | religion:Solaris | city:Nava
Yori Asahi 4 | age:26 | religion:River | city:Vale
Arin Brighton | age:25 | religion:Solaris | city:Vale
Darin Auric | age:25 | religion:Solaris | city:Helio
Eris Sunward | age:25 | religion:Solaris | city:Helio
Haru Takane | age:25 | religion:River | city:Helio
Ivo Granite | age:25 | religion:Stone | city:Vale
Liora Brighton 3 | age:25 | religion:Solaris | city:Helio
Morgan Nova 2 | age:25 | religion:Free | city:Vale
Ren Kuroda 4 | age:25 | religion:River | city:Nava
Runa Brigg 3 | age:25 | religion:Stone | city:Vale
Runa Dorn 3 | age:25 | religion:Stone | city:Nava
Runa Kest 2 | age:25 | religion:Stone | city:Vale
Toma Helion | age:25 | religion:Solaris | city:Nava
Arin Cinder | age:24 | religion:Solaris | city:Helio
Avery Reed 2 | age:24 | religion:Free | city:Helio
Darin Hale | age:24 | religion:Solaris | city:Nava
Edda Kald | age:24 | religion:Stone | city:Vale
Ivo Fjord | age:24 | religion:Stone | city:Nava
Mara Granite 2 | age:24 | religion:Stone | city:Nava
Nils Fjord 3 | age:24 | religion:Stone | city:Nava
Noa Nagiri | age:24 | religion:River | city:Vale
Parker Reed | age:24 | religion:Free | city:Vale
Rei Sunward 2 | age:24 | religion:Solaris | city:Vale
Ren Minase 4 | age:24 | religion:River | city:Helio
Runa Morne 4 | age:24 | religion:Stone | city:Vale
Saki Asahi | age:24 | religion:River | city:Nava
Shin Kuroda 4 | age:24 | religion:River | city:Helio
Tor Granite | age:24 | religion:Stone | city:Vale
Tor Kest 2 | age:24 | religion:Stone | city:Helio
Yuna Brighton | age:24 | religion:Solaris | city:Helio
Alex Sawyer | age:23 | religion:Free | city:Vale
Aoi Asahi | age:23 | religion:River | city:Nava
Arin Veyl | age:23 | religion:Solaris | city:Nava
Casey Lane 2 | age:23 | religion:Free | city:Nava
Ivo Kald | age:23 | religion:Stone | city:Vale
Jordan Frost 2 | age:23 | religion:Free | city:Nava
Kael Auric 2 | age:23 | religion:Solaris | city:Vale
Kael Rayne | age:23 | religion:Solaris | city:Vale
Liora Auric | age:23 | religion:Solaris | city:Vale
Liora Hale 2 | age:23 | religion:Solaris | city:Helio
Mio Takane | age:23 | religion:River | city:Vale
Noa Kuroda | age:23 | religion:River | city:Helio
Parker Lane 2 | age:23 | religion:Free | city:Vale
Ren Mizuno | age:23 | religion:River | city:Helio
Ren Takane 3 | age:23 | religion:River | city:Helio
Shin Takane 3 | age:23 | religion:River | city:Helio
Soren Helion 6 | age:23 | religion:Solaris | city:Helio
Soren Rayne 3 | age:23 | religion:Solaris | city:Nava
Aoi Nagiri 2 | age:22 | religion:River | city:Vale
Avery Cruz | age:22 | religion:Free | city:Vale
Avery Cruz 4 | age:22 | religion:Free | city:Nava
Darin Cinder 3 | age:22 | religion:Solaris | city:Vale
Edda Granite 3 | age:22 | religion:Stone | city:Vale
Kael Hale | age:22 | religion:Solaris | city:Vale
Mara Ridge | age:22 | religion:Stone | city:Helio
Nils Stroud | age:22 | religion:Stone | city:Helio
Parker Cruz | age:22 | religion:Free | city:Vale
Rowan Flynn | age:22 | religion:Free | city:Vale
Taylor Cruz 2 | age:22 | religion:Free | city:Helio
Toma Cinder | age:22 | religion:Solaris | city:Vale
Tor Dorn | age:22 | religion:Stone | city:Helio
Tor Granite 2 | age:22 | religion:Stone | city:Nava
Aoi Amano 2 | age:21 | religion:River | city:Nava
Bram Morne 3 | age:21 | religion:Stone | city:Vale
Eris Brighton | age:21 | religion:Solaris | city:Vale
Galen Morne | age:21 | religion:Stone | city:Nava
Kael Sunward | age:21 | religion:Solaris | city:Vale
Kael Veyl 2 | age:21 | religion:Solaris | city:Nava
Liora Sunward | age:21 | religion:Solaris | city:Helio
Mara Halberg | age:21 | religion:Stone | city:Nava
Morgan Blake 3 | age:21 | religion:Free | city:Helio
Noa Seno | age:21 | religion:River | city:Helio
Noa Shirase 2 | age:21 | religion:River | city:Nava
Parker Frost | age:21 | religion:Free | city:Vale
Petra Brigg | age:21 | religion:Stone | city:Nava
Rei Vale 3 | age:21 | religion:Solaris | city:Vale
Saki Shirase | age:21 | religion:River | city:Vale
Soren Vale 2 | age:21 | religion:Solaris | city:Helio
Taylor Mercer | age:21 | religion:Free | city:Vale
Toru Asahi 2 | age:21 | religion:River | city:Helio
Yori Mizuno 3 | age:21 | religion:River | city:Helio
Bram Ridge | age:20 | religion:Stone | city:Nava
Casey Reed 2 | age:20 | religion:Free | city:Vale
Darin Cinder 4 | age:20 | religion:Solaris | city:Helio
Darin Helion 3 | age:20 | religion:Solaris | city:Nava
Kai Flynn 4 | age:20 | religion:Free | city:Vale
Mara Dorn 2 | age:20 | religion:Stone | city:Helio
Noa Minase | age:20 | religion:River | city:Vale
Petra Halberg | age:20 | religion:Stone | city:Vale
Petra Stroud | age:20 | religion:Stone | city:Vale
Saki Asahi 3 | age:20 | religion:River | city:Vale
Saki Kawara | age:20 | religion:River | city:Nava
Shin Minase | age:20 | religion:River | city:Nava
Soren Auric 2 | age:20 | religion:Solaris | city:Helio
Soren Helion 3 | age:20 | religion:Solaris | city:Helio
Toma Rayne | age:20 | religion:Solaris | city:Vale
Tor Dorn 3 | age:20 | religion:Stone | city:Helio
Toru Minase | age:20 | religion:River | city:Helio
Yuna Veyl 2 | age:20 | religion:Solaris | city:Vale
Avery Frost 2 | age:19 | religion:Free | city:Nava
Avery Quinn | age:19 | religion:Free | city:Nava
Avery Reed 3 | age:19 | religion:Free | city:Nava
Ivo Fjord 2 | age:19 | religion:Stone | city:Helio
Jordan Mercer | age:19 | religion:Free | city:Helio
Kai Lane 3 | age:19 | religion:Free | city:Vale
Kora Kald 5 | age:19 | religion:Stone | city:Helio
Morgan Nova 3 | age:19 | religion:Free | city:Nava
Nils Ridge | age:19 | religion:Stone | city:Vale
Noa Nagiri 2 | age:19 | religion:River | city:Nava
Parker Quinn 4 | age:19 | religion:Free | city:Nava
Parker Reed 4 | age:19 | religion:Free | city:Helio
Rei Vale 5 | age:19 | religion:Solaris | city:Nava
Ren Takane 2 | age:19 | religion:River | city:Nava
Saki Asahi 2 | age:19 | religion:River | city:Vale
Taylor Flynn 3 | age:19 | religion:Free | city:Nava
Taylor Mercer 2 | age:19 | religion:Free | city:Nava
Yori Amano | age:19 | religion:River | city:Vale
Yuna Rayne | age:19 | religion:Solaris | city:Helio
Yuna Veyl 4 | age:19 | religion:Solaris | city:Nava
Galen Ridge | age:18 | religion:Stone | city:Vale
Ivo Kest 3 | age:18 | religion:Stone | city:Helio
Kael Brighton | age:18 | religion:Solaris | city:Helio
Kora Brigg 3 | age:18 | religion:Stone | city:Vale
Mara Kald | age:18 | religion:Stone | city:Vale
Nils Fjord | age:18 | religion:Stone | city:Vale
Nils Stroud 3 | age:18 | religion:Stone | city:Helio
Riley Mercer 2 | age:18 | religion:Free | city:Nava
Rowan Blake 2 | age:18 | religion:Free | city:Helio
Runa Morne 2 | age:18 | religion:Stone | city:Vale
Taylor Quinn 2 | age:18 | religion:Free | city:Nava
Tor Stroud 2 | age:18 | religion:Stone | city:Vale
Toru Minase 3 | age:18 | religion:River | city:Nava
Yuna Veyl | age:18 | religion:Solaris | city:Helio
